gene,comparison_experiment_count,sample,pearson_r,voxel_count,pearson_r_brain,voxel_count_brain,pearson_r_atlas_regions,atlas_region_count,pearson_r_real_data,voxel_count_real_data,pearson_r_interpolated_only,voxel_count_interpolated_only,reference_experiment_ids,comparison_experiment_ids,excluded_experiment_id,seed
Cacna2d1,1,65,0.650635,1295040,0.55742604,511377,0.8871001,698,0.53097904,63435,0.5612794,447942,"[72119649, 78544955, 78544959, 78544963, 78544965, 78544979, 78544981, 78557703, 78557705, 78557707, 78557709, 79707526, 79707530, 80409519, 80409521]",[78544953],78544983.0,20260812
Cacna2d1,1,66,0.59004545,1295040,0.47295508,511377,0.8867241,698,0.47678727,57314,0.47245312,454063,"[72119649, 75042246, 78544955, 78544957, 78544961, 78544963, 78544965, 78544981, 78557705, 78557709, 78557711, 79707526, 80409515, 80409519, 80409521]",[80409517],78544983.0,20260812
Cacna2d1,1,67,0.5659388,1295040,0.44873494,511377,0.899077,698,0.46349165,58270,0.44676548,453107,"[72119649, 78544957, 78544959, 78544961, 78544963, 78544979, 78544981, 78557705, 78557709, 79707516, 79707526, 79707530, 79707760, 80409515, 80409517]",[78557707],78544983.0,20260812
Cacna2d1,1,68,0.71420884,1295040,0.61849844,511377,0.9007254,698,0.6633854,61115,0.6119235,450262,"[78544953, 78544955, 78544965, 78544981, 78557703, 78557705, 78557707, 78557711, 79707516, 79707526, 79707530, 79707532, 79707760, 80409515, 80409519]",[75042246],78544983.0,20260812
Cacna2d1,1,69,0.7181045,1295040,0.62411606,511377,0.91857964,698,0.6754334,61115,0.6166863,450262,"[78544953, 78544955, 78544957, 78544963, 78544965, 78544979, 78544981, 78557703, 78557709, 78557711, 79707516, 79707526, 79707530, 80409517, 80409521]",[75042246],78544983.0,20260812
Cacna2d1,1,70,0.6435994,1295040,0.55165297,511377,0.87880474,698,0.57082546,60865,0.54885864,450512,"[75042246, 78544953, 78544955, 78544957, 78544959, 78544961, 78544979, 78544981, 78557703, 78557709, 79707526, 79707760, 80409517, 80409519, 80409521]",[78544963],78544983.0,20260812
Cacna2d1,1,71,0.57788306,1295040,0.44886455,511377,0.8740316,698,0.4412881,56184,0.44971082,455193,"[72119649, 75042246, 78544953, 78544955, 78544957, 78544963, 78544979, 78544981, 78557705, 78557709, 78557711, 79707532, 80409515, 80409517, 80409519]",[79707760],78544983.0,20260812
Cacna2d1,1,72,0.58855414,1295040,0.48691392,511377,0.85769457,698,0.49585515,57555,0.4857594,453822,"[72119649, 78544953, 78544955, 78544959, 78544961, 78544965, 78544981, 78557703, 78557707, 78557709, 78557711, 79707526, 79707532, 80409517, 80409521]",[78544979],78544983.0,20260812
Cacna2d1,1,73,0.5826112,1295040,0.45520732,511377,0.8255639,698,0.4433172,59582,0.45678186,451795,"[72119649, 78544953, 78544955, 78544957, 78544959, 78544963, 78544979, 78544981, 78557707, 78557711, 79707760, 80409515, 80409517, 80409519, 80409521]",[79707526],78544983.0,20260812
Cacna2d1,1,74,0.5785951,1295040,0.44919753,511377,0.82472306,698,0.43925813,59582,0.45051306,451795,"[72119649, 78544953, 78544955, 78544957, 78544959, 78544961, 78544963, 78544965, 78544979, 78557709, 79707530, 79707532, 80409515, 80409519, 80409521]",[79707526],78544983.0,20260812
Cacna2d1,1,75,0.6376332,1295040,0.5375178,511377,0.90449286,698,0.52602375,56278,0.53893554,455099,"[75042246, 78544953, 78544959, 78544963, 78544979, 78557703, 78557709, 78557711, 79707516, 79707526, 79707530, 79707760, 80409515, 80409517, 80409519]",[78544965],78544983.0,20260812
Cacna2d1,1,76,0.5927005,1295040,0.4924568,511377,0.86381763,698,0.5084337,57555,0.4903558,453822,"[75042246, 78544953, 78544955, 78544957, 78544959, 78544961, 78544965, 78544981, 78557703, 78557711, 79707516, 79707530, 79707532, 80409515, 80409521]",[78544979],78544983.0,20260812
Cacna2d1,1,77,0.65111315,1295040,0.56195664,511377,0.88316023,698,0.6016516,60865,0.55670476,450512,"[72119649, 78544953, 78544957, 78544959, 78544965, 78544979, 78544981, 78557703, 78557705, 78557707, 79707516, 79707532, 79707760, 80409517, 80409519]",[78544963],78544983.0,20260812
Cacna2d1,1,78,0.54772943,1295040,0.42245793,511377,0.8370693,698,0.42096287,57234,0.42263138,454143,"[72119649, 75042246, 78544953, 78544957, 78544959, 78544965, 78544979, 78544981, 78557705, 78557707, 78557711, 79707516, 79707530, 79707760, 80409519]",[78544961],78544983.0,20260812
Cacna2d1,1,79,0.5809605,1295040,0.46975785,511377,0.8670651,698,0.4760254,58769,0.46889278,452608,"[72119649, 75042246, 78544957, 78544961, 78544963, 78544965, 78544979, 78544981, 78557703, 78557709, 78557711, 79707526, 80409517, 80409519, 80409521]",[78557705],78544983.0,20260812
Cacna2d1,1,80,0.5877753,1295040,0.46961662,511377,0.8737798,698,0.47437185,57314,0.46900332,454063,"[75042246, 78544953, 78544955, 78544959, 78544961, 78544965, 78544979, 78544981, 78557707, 78557711, 79707526, 79707532, 79707760, 80409519, 80409521]",[80409517],78544983.0,20260812
Cacna2d1,1,81,0.52850366,1295040,0.39327377,511377,0.79693604,698,0.39397043,61233,0.39322114,450144,"[72119649, 75042246, 78544953, 78544963, 78544979, 78544981, 78557707, 78557709, 78557711, 79707516, 79707526, 79707530, 79707532, 80409517, 80409519]",[80409521],78544983.0,20260812
Cacna2d1,1,82,0.59177303,1295040,0.47570026,511377,0.8755621,698,0.47854608,57314,0.4753316,454063,"[72119649, 78544953, 78544959, 78544961, 78544963, 78544965, 78544979, 78544981, 78557705, 79707526, 79707532, 79707760, 80409515, 80409519, 80409521]",[80409517],78544983.0,20260812
Cacna2d1,1,83,0.6506748,1295040,0.55745715,511377,0.88557947,698,0.529925,63435,0.56148005,447942,"[75042246, 78544957, 78544959, 78544961, 78544963, 78544979, 78544981, 78557705, 78557707, 78557711, 79707516, 79707530, 79707760, 80409517, 80409519]",[78544953],78544983.0,20260812
Cacna2d1,1,84,0.55176,1295040,0.42482173,511377,0.85554564,698,0.43233043,57293,0.4237363,454084,"[72119649, 78544953, 78544959, 78544961, 78544963, 78544979, 78544981, 78557703, 78557705, 78557711, 79707526, 79707532, 80409515, 80409517, 80409521]",[78544955],78544983.0,20260812
Cacna2d1,1,85,0.651594,1295040,0.5587368,511377,0.89068305,698,0.53437555,63435,0.562263,447942,"[72119649, 78544959, 78544961, 78544963, 78544979, 78544981, 78557703, 78557705, 78557709, 79707516, 79707530, 79707532, 79707760, 80409519, 80409521]",[78544953],78544983.0,20260812
Cacna2d1,1,86,0.59604615,1295040,0.4917783,511377,0.8967761,698,0.49217528,58382,0.4917959,452995,"[72119649, 78544955, 78544957, 78544959, 78544961, 78544981, 78557703, 78557705, 78557707, 78557709, 79707760, 80409515, 80409517, 80409519, 80409521]",[78557711],78544983.0,20260812
Cacna2d1,1,87,0.57509685,1295040,0.44536757,511377,0.87712276,698,0.42677602,56184,0.44755784,455193,"[72119649, 75042246, 78544953, 78544961, 78544963, 78544965, 78557703, 78557707, 78557709, 79707526, 79707530, 79707532, 80409517, 80409519, 80409521]",[79707760],78544983.0,20260812
Cacna2d1,1,88,0.55092436,1295040,0.42736417,511377,0.8905763,698,0.45836467,58270,0.42330384,453107,"[72119649, 78544953, 78544955, 78544957, 78544959, 78544961, 78544981, 78557709, 78557711, 79707516, 79707526, 79707760, 80409517, 80409519, 80409521]",[78557707],78544983.0,20260812
Cacna2d1,1,89,0.5920004,1295040,0.4866418,511377,0.8922532,698,0.48781243,58382,0.48658034,452995,"[72119649, 78544953, 78544957, 78544959, 78544961, 78544965, 78544979, 78544981, 78557703, 78557707, 78557709, 79707516, 80409515, 80409517, 80409521]",[78557711],78544983.0,20260812
