animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment,probe_orientation,sleep_state,pixel_size
71185726,05-2927,72077455,Male,Schip1,P56,coronal,ISH,2,Nothing,1.049
70404867,05-2360,71064278,Male,Rcan2,P56,coronal,ISH,2,Nothing,1.049
702872,2438,2625,Male,Slco4a1,P56,coronal,ISH,2,Nothing,1.63
72010421,05-3363,73992911,Male,Gucy2c,P56,coronal,ISH,2,Nothing,1.049
77440620,321-0056,77764089,Female,Cacna1g,P56,coronal,ISH,2,Nothing,1.049
74657126,06-0250,74881547,Male,Arhgef6,P56,coronal,ISH,2,Nothing,1.049
74741232,06-0283,74963139,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
70981815,05-2749,71717143,Male,Spg21,P56,coronal,ISH,2,Nothing,1.049
74741197,06-0280,74958645,Male,AI852640,P56,coronal,ISH,2,Nothing,1.049
70404855,05-2354,71153144,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
75195194,06-0489,75774111,Male,Rasal1,P56,coronal,ISH,2,Nothing,1.049
77385535,321-0084,78591688,Male,Rorb,P56,coronal,ISH,2,Nothing,1.049
70013602,05-2018,70555169,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
79355630,335-1136,79591635,Male,Epha4,P56,coronal,ISH,2,Nothing,1.049
83882,04-0215,322964,Male,Skiv2l2,P56,coronal,ISH,2,Nothing,1.049
77537635,321-0205,77780972,Female,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
71061967,05-2828,71772959,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
74784869,06-0294,74912587,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
71299316,05-3032,72340223,Male,Prlr,P56,coronal,ISH,2,Nothing,1.049
71392884,05-3075,72472793,Male,Epha6,P56,coronal,ISH,2,Nothing,1.049
72962948,05-3490,74272466,Male,Atp9b,P56,coronal,ISH,2,Nothing,1.049
74703403,06-0263,74882686,Male,Pfdn4,P56,coronal,ISH,2,Nothing,1.049
70780178,05-2584,71587898,Male,Tmem35,P56,coronal,ISH,2,Nothing,1.049
74357307,06-0121,74800903,Male,Selk,P56,coronal,ISH,2,Nothing,1.049
71167251,05-2907,72007934,Male,Lhfpl2,P56,coronal,ISH,2,Nothing,1.049
72962232,05-3486,74047927,Male,Rplp0,P56,coronal,ISH,2,Nothing,1.049
702512,1933,923,Male,S100b,P56,coronal,ISH,2,Nothing,1.63
74703345,06-0258,74864410,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
